Title,Director,Cast,Genre,Combined
Finding Hubby,Femi Ogunsanwo,Ade Laoye Kehinde Bankole Munachi Abii Efa Iwara,Comedy Romance,Ade Laoye Kehinde Bankole Munachi Abii Efa Iwara Femi Ogunsanwo Comedy Romance
Ogbo Nke Ajuala,Uzoma Sunday Logicman,Emeka Ani Chiwetalu Agu Uzoma Sunday Logicman Dom Onu,Adventure Drama,Emeka Ani Chiwetalu Agu Uzoma Sunday Logicman Dom Onu Uzoma Sunday Logicman Adventure Drama
Lady Buckit and the Motley Monsters,Adebisi Adetayo,Bimbo Akintola Patrick Doyle Kalu Ikeagwu,Horror Thriller,Bimbo Akintola Patrick Doyle Kalu Ikeagwu Adebisi Adetayo Horror Thriller
Quam's Money,Kayode Kasum,Folarin Falana (Falz) Nse Ikpe Etim Toni Tones Williams Uchemba Michelle Dede,Action Crime Comedy,Folarin Falana (Falz) Nse Ikpe Etim Toni Tones Williams Uchemba Michelle Dede Kayode Kasum Action Crime Comedy
Son of Mercy,Amen Imasuen,Alex Ekubo Linda Osifo Kevin Ikeduba Gregory Ojefua,Drama,Alex Ekubo Linda Osifo Kevin Ikeduba Gregory Ojefua Amen Imasuen Drama
Nneka the pretty serpent,Tosin Igho,Idia Aisien Ndidi Obi Kenneth Okolie Beverly Osu Beverly Naya,Thriller Horror Fantasy Mystery,Idia Aisien Ndidi Obi Kenneth Okolie Beverly Osu Beverly Naya Tosin Igho Thriller Horror Fantasy Mystery
Omo Ghetto - The Saga,Funke Akindele Chioma Akpotha Eniola Badmus Bimbo Thomas Alex Ekubo,Funke Akindele Zubby Michael Chioma Akpotha Mercy Aigbe Nancy Isime Akah Nnani Ayo Makun Deyemi Okanlawon Timini Egbuson Yemi Alade Blossom Chukwujekwu Alexx Ekubo,Gangster Comedy Action Adventure,Funke Akindele Zubby Michael Chioma Akpotha Mercy Aigbe Nancy Isime Akah Nnani Ayo Makun Deyemi Okanlawon Timini Egbuson Yemi Alade Blossom Chukwujekwu Alexx Ekubo Funke Akindele Chioma Akpotha Eniola Badmus Bimbo Thomas Alex Ekubo Gangster Comedy Action Adventure
Day of Destiny,Akay Mason Abosi Ogba,Olumide Oworu Denola Grey Norbert Young Toyin Abraham Jide Kosoko,Sci-Fi Advenure Comedy,Olumide Oworu Denola Grey Norbert Young Toyin Abraham Jide Kosoko Akay Mason Abosi Ogba Sci-Fi Advenure Comedy
The Miracle Centre,Niyi Towolawi,Odunalade Adekola Femi Adebayo Ayo Mogaji Yemi Sodimu Afeez 'Saka' Oyetoro,Comedy,Odunalade Adekola Femi Adebayo Ayo Mogaji Yemi Sodimu Afeez 'Saka' Oyetoro Niyi Towolawi Comedy
Tanwa Savage,Geshin Salvador,Segun Arinze Timini Egbuson Bimbo Ademoye Linda Osifo,Comedy Drama,Segun Arinze Timini Egbuson Bimbo Ademoye Linda Osifo Geshin Salvador Comedy Drama
The Cleanser,James Abinibi,Kehinde Bankole Bolanle Ninalowo Alex Osifo Antar Laniyan,Thriller,Kehinde Bankole Bolanle Ninalowo Alex Osifo Antar Laniyan James Abinibi Thriller
Sanitation Day,Seyi Babatope,Blossom Chukwujekwu Elozonam Nse Ikpe Etim Elvina Ibru,Comedy Thriller,Blossom Chukwujekwu Elozonam Nse Ikpe Etim Elvina Ibru Seyi Babatope Comedy Thriller
Namaste Wahala,Hamisha Daryani Ahuja,Ini Dima-Okojie Richard Mofe-Damijo Joke Silva Jude Abaga,Romance Comedy Musical,Ini Dima-Okojie Richard Mofe-Damijo Joke Silva Jude Abaga Hamisha Daryani Ahuja Romance Comedy Musical
Still Falling,Karachi Atiya and Dimbo Atiya,Daniel Etim Effiong Sharon Ooja Kunle Remi Liz Ameye,Drama Romance,Daniel Etim Effiong Sharon Ooja Kunle Remi Liz Ameye Karachi Atiya and Dimbo Atiya Drama Romance
Fine Wine,Seyi Babatope,Richard Mofe Damijo Zainab Balogun Ego Nwosu Keppy Ekpenyong,Romance Drama Comedy,Richard Mofe Damijo Zainab Balogun Ego Nwosu Keppy Ekpenyong Seyi Babatope Romance Drama Comedy
